,A,AIQ,BCAP,BZCAP,BZMAX,BZMIN,CAPCOST,CFCAP,DCAP,DI,ETA,GPX,GROEI,HCAP,I,KGV,LAB,LAMBDA,MPK,MPL,MZK,NCAP,OCAP,PX,PY,PYC,PYC1,RF,RHO,RHOX,RHOXMAX,RHOXMIN,RISK,TC,THETA,TP,WAGE,WAGE1,X,XK,YD,YDEX,YDEX1,YS,ZCAP
1Y,,,0.23431,,,,,,,,,,,,0.07446,90.95893,,,,,,,,1,,1,,,,,,,,,,,1,,,,,99.009900990099,,,
2Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
3Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
4Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
5Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
6Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
7Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
8Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
9Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
10Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
11Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
12Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
13Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
14Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
15Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
16Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
17Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
18Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
19Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
20Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
21Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
22Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
23Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
24Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
25Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
26Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
27Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
28Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
29Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
30Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
31Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
32Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
33Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
34Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
35Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
36Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
37Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
38Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
39Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
40Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
41Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
42Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
43Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
44Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
45Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
46Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
47Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
48Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
49Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
50Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
51Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
52Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
53Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
54Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
55Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
56Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
57Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
58Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
59Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
60Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
61Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
62Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
63Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
64Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
65Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
66Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
67Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
68Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
69Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
70Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
71Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
72Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
73Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
74Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
75Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
76Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
77Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
78Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
79Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
80Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
81Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
82Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
83Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
84Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
85Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
86Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
87Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
88Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
89Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
90Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
91Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
92Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
93Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
94Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
95Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
96Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
97Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
98Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
99Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
100Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
101Y,0.5,,,,,,,,,,0,0,0.01,,,,,0.599,,,0.13878,,,1,,,,,0.055,,,,,0.4,,,,,,,,,,,
